iter	Logloss
0	0.6307429722
1	0.5666144123
2	0.5178673979
3	0.4701984895
4	0.4428285759
5	0.4128869025
6	0.3904665168
7	0.373032763
8	0.357203771
9	0.3435798585
10	0.3300576048
11	0.322724014
12	0.3105205323
13	0.3005316217
14	0.2956284392
15	0.2872550098
16	0.2834638577
17	0.2773363093
18	0.2719987875
19	0.2673177789
20	0.2628458376
21	0.2595697747
22	0.2565189617
23	0.2539229304
24	0.250759141
25	0.2487348456
26	0.2470504239
27	0.245633354
28	0.2444163585
29	0.2422793853
30	0.2402079093
31	0.2388261665
32	0.2379549684
33	0.2365597916
34	0.2351540578
35	0.2340109378
36	0.232536677
37	0.2312932254
38	0.2300411344
39	0.2295157648
40	0.2287939737
41	0.2279504231
42	0.2272525749
43	0.2264061854
44	0.22545729
45	0.224783094
46	0.2243013513
47	0.223682437
48	0.2230294458
49	0.222871141
50	0.2226694769
51	0.2208270542
52	0.2205940722
53	0.2205048846
54	0.2199300151
55	0.2190550479
56	0.2190268251
57	0.2183139331
58	0.2180002176
59	0.2174495412
60	0.2174181329
61	0.2169991682
62	0.2164281667
63	0.2160164339
64	0.2153331136
65	0.2147012189
66	0.2139676713
67	0.2138162402
68	0.2137675579
69	0.2133154265
70	0.2124666644
71	0.2118166404
72	0.2115047646
73	0.2111742556
74	0.2108303171
75	0.2103582191
76	0.2096993278
77	0.2085173572
78	0.2078508162
79	0.207156832
80	0.2071097812
81	0.2069110525
82	0.2064713092
83	0.2063710991
84	0.206124189
85	0.2056518507
86	0.2051092546
87	0.204773048
88	0.2038112801
89	0.202489519
90	0.2024448721
91	0.2021037948
92	0.2015823816
93	0.2013691836
94	0.2009653437
95	0.2004404842
96	0.200421406
97	0.2001834534
98	0.2000405605
99	0.1997641279
100	0.1994903129
101	0.1990663329
102	0.1987359353
103	0.1972466413
104	0.1966443093
105	0.196356226
106	0.1959716313
107	0.1955768019
108	0.1949952073
109	0.1946605195
110	0.1939988682
111	0.1937351625
112	0.1930563316
113	0.1930444834
114	0.1930204258
115	0.1928033778
116	0.1927822109
117	0.1927610523
118	0.1924416041
119	0.1922590591
120	0.1920558764
121	0.1915954956
122	0.1905862451
123	0.1905630832
124	0.1905557298
125	0.1900765338
126	0.1898638599
127	0.1897470168
128	0.1897199571
129	0.189258205
130	0.1892410749
131	0.1889708132
132	0.1885248254
133	0.1881898943
134	0.1880251297
135	0.1879781554
136	0.1875605472
137	0.1872726236
138	0.1872141665
139	0.1866139602
140	0.186179587
141	0.1853914291
142	0.1852856978
143	0.1848293278
144	0.1845663233
145	0.1843680419
146	0.1839553054
147	0.1838066204
148	0.1834543281
149	0.1832355298
150	0.1831751082
151	0.1827390524
152	0.1822068886
153	0.1819260544
154	0.1817750483
155	0.18160818
156	0.1813891014
157	0.1811626451
158	0.1809056001
159	0.1803782499
160	0.1802873795
161	0.1800422861
162	0.1800263008
163	0.1800239408
164	0.1799491487
165	0.1795857869
166	0.1795231293
167	0.1794496375
168	0.1792274436
169	0.17905085
170	0.1787345334
171	0.1780453318
172	0.1780427511
173	0.1777496871
174	0.1775867331
175	0.1772633988
176	0.1767612946
177	0.1763236329
178	0.1763207871
179	0.1757839086
180	0.1754663343
181	0.1752937284
182	0.1752190516
183	0.1749721716
184	0.1747656775
185	0.174387024
186	0.1742871074
187	0.1740417359
188	0.1736691987
189	0.1734529006
190	0.1733919631
191	0.1732697766
192	0.173262259
193	0.1727638018
194	0.1727554797
195	0.1725707708
196	0.1717600322
197	0.1715389521
198	0.1714425987
199	0.1711391871
