iter	Passed	Remaining
0	108	21511
1	152	15099
2	194	12773
3	237	11647
4	273	10676
5	321	10391
6	361	9964
7	402	9671
8	446	9484
9	491	9338
10	535	9192
11	568	8899
12	614	8842
13	659	8757
14	694	8565
15	741	8532
16	779	8387
17	825	8345
18	873	8320
19	915	8242
20	960	8183
21	1005	8131
22	1048	8070
23	1090	7997
24	1136	7956
25	1181	7904
26	1228	7872
27	1269	7801
28	1310	7726
29	1356	7684
30	1403	7649
31	1446	7594
32	1493	7560
33	1540	7522
34	1584	7470
35	1629	7423
36	1674	7378
37	1719	7329
38	1765	7287
39	1804	7216
40	1848	7168
41	1894	7127
42	1937	7075
43	1982	7029
44	2029	6989
45	2076	6950
46	2124	6917
47	2169	6870
48	2214	6825
49	2254	6764
50	2299	6718
51	2349	6686
52	2397	6650
53	2438	6592
54	2487	6558
55	2533	6514
56	2570	6450
57	2616	6406
58	2665	6371
59	2706	6316
60	2742	6248
61	2782	6194
62	2828	6151
63	2874	6107
64	2919	6062
65	2964	6018
66	3008	5972
67	3044	5910
68	3078	5843
69	3120	5794
70	3165	5751
71	3212	5710
72	3255	5662
73	3299	5618
74	3348	5581
75	3408	5560
76	3454	5517
77	3502	5478
78	3553	5442
79	3601	5402
80	3640	5347
81	3684	5302
82	3730	5259
83	3779	5219
84	3826	5177
85	3874	5135
86	3932	5107
87	3981	5067
88	4029	5025
89	4078	4984
90	4113	4927
91	4157	4881
92	4206	4839
93	4255	4798
94	4298	4751
95	4349	4711
96	4384	4656
97	4435	4616
98	4479	4570
99	4528	4528
100	4578	4487
101	4623	4442
102	4668	4396
103	4715	4352
104	4760	4307
105	4808	4263
106	4856	4221
107	4906	4179
108	4955	4136
109	4999	4090
110	5047	4047
111	5093	4001
112	5138	3955
113	5171	3901
114	5214	3854
115	5258	3808
116	5293	3754
117	5328	3702
118	5377	3660
119	5423	3615
120	5471	3572
121	5517	3527
122	5561	3481
123	5598	3431
124	5631	3379
125	5675	3333
126	5723	3289
127	5767	3244
128	5816	3201
129	5856	3153
130	5897	3106
131	5939	3059
132	5990	3017
133	6041	2975
134	6090	2932
135	6133	2886
136	6179	2841
137	6225	2796
138	6274	2753
139	6320	2708
140	6365	2663
141	6409	2617
142	6458	2574
143	6505	2529
144	6550	2484
145	6594	2439
146	6637	2393
147	6684	2348
148	6727	2302
149	6772	2257
150	6815	2211
151	6864	2167
152	6912	2123
153	6969	2081
154	7025	2039
155	7070	1994
156	7115	1948
157	7163	1904
158	7216	1860
159	7265	1816
160	7314	1771
161	7358	1725
162	7401	1680
163	7436	1632
164	7477	1586
165	7521	1540
166	7565	1494
167	7608	1449
168	7652	1403
169	7696	1358
170	7743	1313
171	7791	1268
172	7824	1221
173	7869	1175
174	7915	1130
175	7960	1085
176	8004	1040
177	8050	994
178	8082	948
179	8125	902
180	8165	857
181	8211	812
182	8255	766
183	8299	721
184	8349	676
185	8392	631
186	8436	586
187	8481	541
188	8525	496
189	8566	450
190	8609	405
191	8652	360
192	8692	315
193	8737	270
194	8780	225
195	8825	180
196	8875	135
197	8921	90
198	8973	45
199	9021	0
